line_in_material|local_file|url
schwabish-5546|images/dot-plot/section-text-source|materials/schwabish_2014_better-data-visualizations.txt
academy-122-img1|images/dot-plot/dot-plot-datawrapper-example-1.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/686bacfa3b79dd015ae6baf2/file-ebGMWFVL7S.png
academy-122-img2|images/dot-plot/dot-plot-datawrapper-example-2.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/5a1311e32c7d3a272c0dd02d/file-8pFe3BBFtg.png
